ASV	Chrom	Pos	WaldPValue	GeneIDs	GeneIDs
OTU_1015_16S	Ha412HOChr15	143822285	9.657196e-09	NoGenes	NoGenes
OTU_1015_16S	Ha412HOChr17	138894456	2.212513e-09	[LOW_BITSCORE]_chromatin_remodeling_4,CBS_domain-containing_protein,Ha412HOChr17g0842561,[LOW_BITSCORE]_Protein_kinase_superfamily_protein,RING/U-box_superfamily_protein,transcription_factor-like_protein,RING/U-box_superfamily_protein,strawberry_notch_protein_(DUF616),RNA-binding_(RRM/RBD/RNP_motifs)_family_protein	Ha412HOChr17g0842541,Ha412HOChr17g0842551,Ha412HOChr17g0842561,Ha412HOChr17g0842571,Ha412HOChr17g0842581,Ha412HOChr17g0842591,Ha412HOChr17g0842601,Ha412HOChr17g0842611,Ha412HOChr17g0842621
OTU_1020_16S	Ha412HOChr08	172644112	9.056127e-08	Cytochrome_c_oxidase,_subunit_Vib_family_protein,Histone_superfamily_protein,17.6_kDa_class_II_heat_shock_protein,dessication-induced_1VOC_superfamily_protein	Ha412HOChr08g0370691,Ha412HOChr08g0370701,Ha412HOChr08g0370721,Ha412HOChr08g0370731
OTU_1020_16S	Ha412HOChr08	172644118	1.709160e-08	Cytochrome_c_oxidase,_subunit_Vib_family_protein,Histone_superfamily_protein,17.6_kDa_class_II_heat_shock_protein,dessication-induced_1VOC_superfamily_protein	Ha412HOChr08g0370691,Ha412HOChr08g0370701,Ha412HOChr08g0370721,Ha412HOChr08g0370731
OTU_1020_16S	Ha412HOChr08	172644130	1.709160e-08	Cytochrome_c_oxidase,_subunit_Vib_family_protein,Histone_superfamily_protein,17.6_kDa_class_II_heat_shock_protein,dessication-induced_1VOC_superfamily_protein	Ha412HOChr08g0370691,Ha412HOChr08g0370701,Ha412HOChr08g0370721,Ha412HOChr08g0370731
OTU_1020_16S	Ha412HOChr08	172644148	5.729335e-08	Cytochrome_c_oxidase,_subunit_Vib_family_protein,Histone_superfamily_protein,17.6_kDa_class_II_heat_shock_protein,dessication-induced_1VOC_superfamily_protein	Ha412HOChr08g0370691,Ha412HOChr08g0370701,Ha412HOChr08g0370721,Ha412HOChr08g0370731
OTU_1020_16S	Ha412HOChr14	70554934	4.313718e-08	transcription_factor-like_protein,histone_deacetylase_8,Putative_adipose-regulatory_protein_(Seipin)	Ha412HOChr14g0650551,Ha412HOChr14g0650561,Ha412HOChr14g0650571
OTU_1021_16S	Ha412HOChr06	100020597	9.076733e-08	NoGenes	NoGenes
OTU_1021_16S	Ha412HOChr06	101023993	6.308421e-08	Plant_invertase/pectin_methylesterase_inhibitor_superfamily	Ha412HOChr06g0276591
OTU_1021_16S	Ha412HOChr06	102982728	3.030032e-08	chloride_channel_C,[LOW_BITSCORE]_protein_phosphatase	Ha412HOChr06g0276981,Ha412HOChr06g0276991
OTU_1021_16S	Ha412HOChr06	103046703	2.693026e-08	chloride_channel_C,[LOW_BITSCORE]_protein_phosphatase	Ha412HOChr06g0276981,Ha412HOChr06g0276991
OTU_1021_16S	Ha412HOChr06	103557759	5.500350e-08	WRKY_family_transcription_factor,RAB_GTPase_11C,Ha412HOChr06g0277191	Ha412HOChr06g0277171,Ha412HOChr06g0277181,Ha412HOChr06g0277191
OTU_1021_16S	Ha412HOChr06	103559976	9.652302e-08	WRKY_family_transcription_factor,RAB_GTPase_11C,Ha412HOChr06g0277191	Ha412HOChr06g0277171,Ha412HOChr06g0277181,Ha412HOChr06g0277191
OTU_1047_16S	Ha412HOChr03	167609828	1.822787e-08	[LOW_BITSCORE]_phospholipase-like_protein_(PEARLI_4)_family_protein,cation/H+_exchanger_17	Ha412HOChr03g0136541,Ha412HOChr03g0136591
OTU_1047_16S	Ha412HOChr05	141089621	5.882822e-08	Mitochondrial_transcription_termination_factor_family_protein,uncharacterized_protein_AT1G22680,EamA-like_transporter_family_protein	Ha412HOChr05g0229051,Ha412HOChr05g0229061,Ha412HOChr05g0229071
OTU_1047_16S	Ha412HOChr07	160813220	3.231555e-08	NAD(P)-binding_Rossmann-fold_superfamily_protein,myb_domain_protein_4r1,SLAC1_homologue_3,membrane-associated_kinase_regulator,Protein_kinase_superfamily_protein,plastidic_pyruvate_kinase_beta_subunit_1,[LOW_BITSCORE]_Basic-leucine_zipper_(bZIP)_transcription_factor_family_protein,Ubiquitin-associated/translation_elongation_factor_EF1B_protein	Ha412HOChr07g0326051,Ha412HOChr07g0326061,Ha412HOChr07g0326071,Ha412HOChr07g0326081,Ha412HOChr07g0326091,Ha412HOChr07g0326101,Ha412HOChr07g0326111,Ha412HOChr07g0326121
OTU_1047_16S	Ha412HOChr13	44920874	3.659617e-08	Protein_kinase_superfamily_protein,NADH_dehydrogenase_subunit_4L_(chloroplast),CCT_motif_family_protein,protein_phosphatase_2A_subunit_A2,glycosyl_hydrolase_9C2	Ha412HOChr13g0590881,Ha412HOChr13g0590901,Ha412HOChr13g0590911,Ha412HOChr13g0590921,Ha412HOChr13g0590931
OTU_1047_16S	Ha412HOChr16	8503500	3.646302e-08	Galactose_oxidase/kelch_repeat_superfamily_protein,binding_protein,UDP-Glycosyltransferase_superfamily_protein,cytochrome_P450_family_protein,phox_(PX)_domain-containing_protein,Galactose_oxidase/kelch_repeat_superfamily_protein,Galactose_oxidase/kelch_repeat_superfamily_protein,Galactose_oxidase/kelch_repeat_superfamily_protein,Galactose_oxidase/kelch_repeat_superfamily_protein,binding_protein,cytochrome_P450_family_protein,UDP-Glycosyltransferase_superfamily_protein,UDP-Glycosyltransferase_superfamily_protein	Ha412HOChr16g0750331,Ha412HOChr16g0750341,Ha412HOChr16g0750351,Ha412HOChr16g0750361,Ha412HOChr16g0750381,Ha412HOChr16g0750401,Ha412HOChr16g0750411,Ha412HOChr16g0750421,Ha412HOChr16g0750431,Ha412HOChr16g0750441,Ha412HOChr16g0750451,Ha412HOChr16g0750461,Ha412HOChr16g0750471
OTU_1047_16S	Ha412HOChr17	62274204	6.102176e-08	Thioredoxin_superfamily_protein,membrane-anchored_ubiquitin-fold_protein_4_precursor,Pollen_Ole_e_1_allergen_and_extensin_family_protein,ACT_domain_repeat_6	Ha412HOChr17g0828401,Ha412HOChr17g0828411,Ha412HOChr17g0828421,Ha412HOChr17g0828441
OTU_105_16S	Ha412HOChr04	205660481	8.807148e-09	cytochrome_P450,_family_76,_subfamily_C,_polypeptide_4,cytochrome_P450,_family_76,_subfamily_C,_polypeptide_4,cytochrome_P450,_family_76,_subfamily_C,_polypeptide_4	Ha412HOChr04g0191561,Ha412HOChr04g0191591,Ha412HOChr04g0191611
OTU_1062_16S	Ha412HOChr04	70577885	2.835854e-08	Ha412HOChr04g0165071,[LOW_BITSCORE]_3'-phosphoinositide-dependent_protein_kinase_1,NAD(P)-binding_Rossmann-fold_superfamily_protein,T-complex_protein_11,proteasome_activating_protein_200,cryptochrome_1	Ha412HOChr04g0165071,Ha412HOChr04g0165081,Ha412HOChr04g0165101,Ha412HOChr04g0165111,Ha412HOChr04g0165121,Ha412HOChr04g0165151
OTU_1062_16S	Ha412HOChr09	74364499	4.099660e-08	Pentatricopeptide_repeat_(PPR)_superfamily_protein,Galactose_oxidase/kelch_repeat_superfamily_protein,beta-D-xylosidase_4	Ha412HOChr09g0387541,Ha412HOChr09g0387551,Ha412HOChr09g0387571
OTU_1062_16S	Ha412HOChr09	74364522	6.255633e-08	Pentatricopeptide_repeat_(PPR)_superfamily_protein,Galactose_oxidase/kelch_repeat_superfamily_protein,beta-D-xylosidase_4	Ha412HOChr09g0387541,Ha412HOChr09g0387551,Ha412HOChr09g0387571
OTU_1062_16S	Ha412HOChr11	75507357	3.887571e-08	[LOW_BITSCORE]_Protein_phosphatase_2C_family_protein,RNA-directed_DNA_polymerase_(reverse_transcriptase)-related_family_protein,Rubber_elongation_factor_protein_(REF)	Ha412HOChr11g0503251,Ha412HOChr11g0503261,Ha412HOChr11g0503311
OTU_1062_16S	Ha412HOChr14	104708199	7.454658e-08	alpha/beta-Hydrolases_superfamily_protein	Ha412HOChr14g0658791
OTU_1062_16S	Ha412HOChr16	101868789	4.963986e-09	NoGenes	NoGenes
OTU_1062_16S	Ha412HOChr16	102256523	3.335145e-08	multidrug_resistance-associated_protein_9,disease_resistance_family_protein_/_LRR_family_protein,DnaJ/Hsp40_cysteine-rich_domain_superfamily_protein,alpha/beta-Hydrolases_superfamily_protein	Ha412HOChr16g0770491,Ha412HOChr16g0770501,Ha412HOChr16g0770511,Ha412HOChr16g0770521
OTU_1067_16S	Ha412HOChr08	59207165	1.705417e-08	NoGenes	NoGenes
OTU_1067_16S	Ha412HOChr08	176619043	6.562959e-08	[LOW_BITSCORE]_Eukaryotic_aspartyl_protease_family_protein,cellulose_synthase-like_D5	Ha412HOChr08g0372211,Ha412HOChr08g0372231
OTU_1067_16S	Ha412HOChr09	127844814	1.949579e-08	NAC_domain_containing_protein_84,[LOW_BITSCORE]_UDP-glucosyl_transferase_71B5,hydroxyproline-rich_glycoprotein_family_protein	Ha412HOChr09g0399381,Ha412HOChr09g0399391,Ha412HOChr09g0399401
OTU_1067_16S	Ha412HOChr10	173070187	6.655880e-08	fatty_acyl-ACP_thioesterases_B	Ha412HOChr10g0470091
OTU_1076_16S	Ha412HOChr12	57411192	5.772040e-08	sequence-specific_DNA_binding_transcription_factor_ATNDX,[LOW_BITSCORE]_phosphate_transporter_4;6,[LOW_BITSCORE]_Ankyrin_repeat_family_protein,[LOW_BITSCORE]_GRF_zinc_finger_protein,uncharacterized_protein_AT2G28550,Disease_resistance-responsive_(dirigent-like_protein)_family_protein	Ha412HOChr12g0555681,Ha412HOChr12g0555691,Ha412HOChr12g0555701,Ha412HOChr12g0555711,Ha412HOChr12g0555751,Ha412HOChr12g0555781
OTU_1083_16S	Ha412HOChr05	121997958	6.314792e-09	Protein_kinase_superfamily_protein,ACT_domain-containing_protein	Ha412HOChr05g0224321,Ha412HOChr05g0224331
OTU_1106_16S	Ha412HOChr17	126318982	6.825553e-08	FtsH_extracellular_protease_family,trehalose-phosphatase/synthase_7	Ha412HOChr17g0840271,Ha412HOChr17g0840281
OTU_112_16S	Ha412HOChr06	35089068	8.743318e-08	20S_proteasome_beta_subunit_PBB2,cytochrome_P450,_family_86,_subfamily_C,_polypeptide_1,cytochrome_P450,_family_86,_subfamily_C,_polypeptide_1,basic_helix-loop-helix_(bHLH)_DNA-binding_superfamily_protein	Ha412HOChr06g0260641,Ha412HOChr06g0260651,Ha412HOChr06g0260661,Ha412HOChr06g0260681
OTU_112_16S	Ha412HOChr06	35089097	1.549698e-08	20S_proteasome_beta_subunit_PBB2,cytochrome_P450,_family_86,_subfamily_C,_polypeptide_1,cytochrome_P450,_family_86,_subfamily_C,_polypeptide_1,basic_helix-loop-helix_(bHLH)_DNA-binding_superfamily_protein	Ha412HOChr06g0260641,Ha412HOChr06g0260651,Ha412HOChr06g0260661,Ha412HOChr06g0260681
OTU_112_16S	Ha412HOChr14	92052502	1.996000e-08	DNAJ-like_20,[LOW_BITSCORE]_cytochrome_P450,_family_76,_subfamily_C,_polypeptide_2	Ha412HOChr14g0655721,Ha412HOChr14g0655731
OTU_112_16S	Ha412HOChr14	92308071	2.784806e-08	HXXXD-type_acyl-transferase_family_protein	Ha412HOChr14g0655791
OTU_1122_16S	Ha412HOChr08	52604334	4.632840e-08	[LOW_BITSCORE]_N-terminal_nucleophile_aminohydrolases_(Ntn_hydrolases)_superfamily_protein,RNA-dependent_RNA_polymerase_1,[LOW_BITSCORE]_paramyosin-like_protein	Ha412HOChr08g0347701,Ha412HOChr08g0347711,Ha412HOChr08g0347741
OTU_1122_16S	Ha412HOChr13	5641897	3.643323e-08	[LOW_BITSCORE]_DHFS-FPGS_homolog_C	Ha412HOChr13g0583671
OTU_1135_16S	Ha412HOChr01	69129104	6.048263e-09	uncharacterized_protein_AT3G52710,Thioredoxin_family_protein,Protein_kinase_superfamily_protein,Protein_kinase_superfamily_protein	Ha412HOChr01g0015581,Ha412HOChr01g0015591,Ha412HOChr01g0015611,Ha412HOChr01g0015621
OTU_1135_16S	Ha412HOChr01	69129106	6.048263e-09	uncharacterized_protein_AT3G52710,Thioredoxin_family_protein,Protein_kinase_superfamily_protein,Protein_kinase_superfamily_protein	Ha412HOChr01g0015581,Ha412HOChr01g0015591,Ha412HOChr01g0015611,Ha412HOChr01g0015621
OTU_1135_16S	Ha412HOChr08	35000418	8.947693e-08	nodulin_MtN21_/EamA-like_transporter_family_protein,nodulin_MtN21_/EamA-like_transporter_family_protein	Ha412HOChr08g0342801,Ha412HOChr08g0342821
OTU_1135_16S	Ha412HOChr14	148491715	6.714961e-08	RING/U-box_superfamily_protein_with_ARM_repeat_domain-containing_protein,Eukaryotic_aspartyl_protease_family_protein,natural_resistance-associated_macrophage_protein_3,[LOW_BITSCORE]_Ribonuclease_H-like_superfamily_protein	Ha412HOChr14g0671811,Ha412HOChr14g0671831,Ha412HOChr14g0671841,Ha412HOChr14g0671851
OTU_1135_16S	Ha412HOChr15	164845135	8.966028e-08	ARM_repeat_superfamily_protein,ethylene_responsive_element_binding_factor_4,Yippee_family_putative_zinc-binding_protein,Protein_kinase_superfamily_protein	Ha412HOChr15g0740621,Ha412HOChr15g0740631,Ha412HOChr15g0740651,Ha412HOChr15g0740661
OTU_1139_16S	Ha412HOChr04	15649803	3.128332e-08	disease_resistance_family_protein_/_LRR_family_protein,DNA_glycosylase_superfamily_protein	Ha412HOChr04g0150861,Ha412HOChr04g0150871
OTU_1139_16S	Ha412HOChr09	134912363	5.231203e-09	zinc_induced_facilitator-like_1,[LOW_BITSCORE]_NHL_domain-containing_protein	Ha412HOChr09g0401881,Ha412HOChr09g0401901
OTU_1153_16S	Ha412HOChr08	69756969	9.787340e-08	Leucine-rich_receptor-like_protein_kinase_family_protein	Ha412HOChr08g0351141
OTU_1153_16S	Ha412HOChr10	70770931	5.856350e-09	ARM_repeat_superfamily_protein,Tetratricopeptide_repeat_(TPR)-like_superfamily_protein	Ha412HOChr10g0446601,Ha412HOChr10g0446621
OTU_1154_16S	Ha412HOChr07	125031116	1.232623e-08	DnaJ_(DUF3353),threonine_aldolase_1,Class_II_aaRS_and_biotin_synthetases_superfamily_protein,Transcription_factor_jumonji_(jmj)_family_protein_/_zinc_finger_(C5HC2_type)_family_protein	Ha412HOChr07g0310411,Ha412HOChr07g0310421,Ha412HOChr07g0310431,Ha412HOChr07g0310441
OTU_1154_16S	Ha412HOChr13	172346465	3.820220e-08	NB-ARC_domain-containing_disease_resistance_protein,aldehyde_dehydrogenase_12A1,NB-ARC_domain-containing_disease_resistance_protein,[LOW_BITSCORE]_zinc_finger_protein-like_protein,NB-ARC_domain-containing_disease_resistance_protein,LRR_and_NB-ARC_domains-containing_disease_resistance_protein,LRR_and_NB-ARC_domains-containing_disease_resistance_protein,UDP-D-glucuronate_4-epimerase_2,Leucine-rich_repeat_protein_kinase_family_protein,Pentatricopeptide_repeat_(PPR)_superfamily_protein,Pentatricopeptide_repeat_(PPR)_superfamily_protein,DHHC-type_zinc_finger_family_protein	Ha412HOChr13g0631451,Ha412HOChr13g0631461,Ha412HOChr13g0631471,Ha412HOChr13g0631481,Ha412HOChr13g0631501,Ha412HOChr13g0631511,Ha412HOChr13g0631531,Ha412HOChr13g0631541,Ha412HOChr13g0631551,Ha412HOChr13g0631561,Ha412HOChr13g0631571,Ha412HOChr13g0631581
OTU_1156_16S	Ha412HOChr01	69129104	2.528736e-08	uncharacterized_protein_AT3G52710,Thioredoxin_family_protein,Protein_kinase_superfamily_protein,Protein_kinase_superfamily_protein	Ha412HOChr01g0015581,Ha412HOChr01g0015591,Ha412HOChr01g0015611,Ha412HOChr01g0015621
OTU_1156_16S	Ha412HOChr01	69129106	2.528736e-08	uncharacterized_protein_AT3G52710,Thioredoxin_family_protein,Protein_kinase_superfamily_protein,Protein_kinase_superfamily_protein	Ha412HOChr01g0015581,Ha412HOChr01g0015591,Ha412HOChr01g0015611,Ha412HOChr01g0015621
OTU_1156_16S	Ha412HOChr09	61943178	6.452235e-08	[LOW_BITSCORE]_SITE-1_protease,Ha412HOChr09g0385881,SNF2/Brahma-type_chromatin-remodeling_protein_CHR12,Ha412HOChr09g0385901,SNF2/Brahma-type_chromatin-remodeling_protein_CHR12,[LOW_BITSCORE]_Protein_kinase_superfamily_protein,Peptidase_C15,_pyroglutamyl_peptidase_I-like_protein,Kinase_interacting_(KIP1-like)_family_protein	Ha412HOChr09g0385871,Ha412HOChr09g0385881,Ha412HOChr09g0385891,Ha412HOChr09g0385901,Ha412HOChr09g0385911,Ha412HOChr09g0385921,Ha412HOChr09g0385941,Ha412HOChr09g0385951
OTU_1156_16S	Ha412HOChr10	26685865	2.102293e-08	Plant_invertase/pectin_methylesterase_inhibitor_superfamily,glycosyl_hydrolase_9B13	Ha412HOChr10g0438301,Ha412HOChr10g0438331
OTU_1156_16S	Ha412HOChr11	11418205	6.637698e-08	26S_proteasome_regulatory_subunit_S2_1A,late_embryogenesis_abundant_domain-containing_protein_/_LEA_domain-containing_protein,tubulin_folding_cofactor_E_/_Pfifferling_(PFI),[LOW_BITSCORE]_Regulator_of_chromosome_condensation_(RCC1)_family_with_FYVE_zinc_finger_domain-containing_protein,[LOW_BITSCORE]_SPIRAL1-like2,alpha/beta-Hydrolases_superfamily_protein,HSP20-like_chaperones_superfamily_protein	Ha412HOChr11g0484631,Ha412HOChr11g0484641,Ha412HOChr11g0484651,Ha412HOChr11g0484681,Ha412HOChr11g0484691,Ha412HOChr11g0484711,Ha412HOChr11g0484721
OTU_1156_16S	Ha412HOChr16	8206657	7.141474e-09	2-oxoglutarate_(2OG)_and_Fe(II)-dependent_oxygenase_superfamily_protein,2-oxoglutarate_(2OG)_and_Fe(II)-dependent_oxygenase_superfamily_protein,indoleacetic_acid-induced_protein_16,[LOW_BITSCORE]_BES1/BZR1_homolog_2,indole-3-acetic_acid_inducible_19,tetratricopeptide_repeat_(TPR)-containing_protein	Ha412HOChr16g0750201,Ha412HOChr16g0750211,Ha412HOChr16g0750251,Ha412HOChr16g0750261,Ha412HOChr16g0750271,Ha412HOChr16g0750281
OTU_1162_16S	Ha412HOChr01	63681256	9.274363e-08	Ha412HOChr01g0014151,villin_3,3'-5'-exoribonuclease_family_protein,transmembrane_protein,_putative_(DUF288),Leucine-rich_repeat_protein_kinase_family_protein,Uncharacterized_protein_AT2G41830	Ha412HOChr01g0014151,Ha412HOChr01g0014161,Ha412HOChr01g0014171,Ha412HOChr01g0014181,Ha412HOChr01g0014201,Ha412HOChr01g0014211
OTU_1162_16S	Ha412HOChr03	116647168	7.848841e-09	metallothionein_2A	Ha412HOChr03g0117741
OTU_1162_16S	Ha412HOChr03	119764477	7.232750e-08	F-box_and_associated_interaction_domains-containing_protein,Coproporphyrinogen_III_oxidase	Ha412HOChr03g0118231,Ha412HOChr03g0118251
OTU_1162_16S	Ha412HOChr03	119764480	7.232750e-08	F-box_and_associated_interaction_domains-containing_protein,Coproporphyrinogen_III_oxidase	Ha412HOChr03g0118231,Ha412HOChr03g0118251
OTU_1162_16S	Ha412HOChr09	22516943	6.178127e-09	NoGenes	NoGenes
OTU_1162_16S	Ha412HOChr10	46002909	5.437413e-08	[LOW_BITSCORE]_Pentatricopeptide_repeat_(PPR)_superfamily_protein,wall-associated_kinase_2,RNA-directed_DNA_polymerase_(reverse_transcriptase)-related_family_protein,Pentatricopeptide_repeat_(PPR)_superfamily_protein	Ha412HOChr10g0443021,Ha412HOChr10g0443031,Ha412HOChr10g0443041,Ha412HOChr10g0443051
OTU_1162_16S	Ha412HOChr13	118792019	1.542099e-08	[LOW_BITSCORE]_Ring/U-Box_superfamily_protein,embryo_defective_1303,calcineurin_B-like_protein_2,HEAT_SHOCK_PROTEIN_81.4,HEAT_SHOCK_PROTEIN_81.4,[LOW_BITSCORE]_Nucleic_acid-binding,_OB-fold-like_protein,NAD(P)-binding_Rossmann-fold_superfamily_protein,[LOW_BITSCORE]_metalloendopeptidase_/_zinc_ion_binding_protein,[LOW_BITSCORE]_DNA_polymerase_epsilon_catalytic_subunit	Ha412HOChr13g0611101,Ha412HOChr13g0611111,Ha412HOChr13g0611121,Ha412HOChr13g0611131,Ha412HOChr13g0611141,Ha412HOChr13g0611151,Ha412HOChr13g0611161,Ha412HOChr13g0611171,Ha412HOChr13g0611181
OTU_1162_16S	Ha412HOChr14	136530922	7.777223e-08	carbon-sulfur_lyase,ATP-dependent_RNA_helicase,NADH-ubiquinone_dehydrogenase,structural_maintenance_of_chromosomes_protein,STELAR_K+_outward_rectifier	Ha412HOChr14g0668081,Ha412HOChr14g0668091,Ha412HOChr14g0668101,Ha412HOChr14g0668111,Ha412HOChr14g0668171
OTU_1162_16S	Ha412HOChr14	136531021	6.821397e-08	carbon-sulfur_lyase,ATP-dependent_RNA_helicase,NADH-ubiquinone_dehydrogenase,structural_maintenance_of_chromosomes_protein,STELAR_K+_outward_rectifier	Ha412HOChr14g0668081,Ha412HOChr14g0668091,Ha412HOChr14g0668101,Ha412HOChr14g0668111,Ha412HOChr14g0668171
OTU_1162_16S	Ha412HOChr14	137418948	8.328319e-08	Ha412HOChr14g0668411	Ha412HOChr14g0668411
OTU_1162_16S	Ha412HOChr14	137418965	8.328319e-08	Ha412HOChr14g0668411	Ha412HOChr14g0668411
OTU_1162_16S	Ha412HOChr16	54965783	1.205039e-08	RING/U-box_superfamily_protein,[LOW_BITSCORE]_hypothetical_protein_(DUF936),[LOW_BITSCORE]_Protein_kinase_superfamily_protein,RING/U-box_superfamily_protein,cleavage_and_polyadenylation_specificity_factor_100,O-acyltransferase_(WSD1-like)_family_protein	Ha412HOChr16g0762801,Ha412HOChr16g0762821,Ha412HOChr16g0762841,Ha412HOChr16g0762851,Ha412HOChr16g0762861,Ha412HOChr16g0762871
OTU_1162_16S	Ha412HOChr16	214195230	1.705985e-09	RB1-inducible_coiled-coil_protein,WUSCHEL_related_homeobox_13,PHD_finger-like_protein,PHD_finger-like_protein,inositol_requiring_1-1,Auxin_efflux_carrier_family_protein	Ha412HOChr16g0802901,Ha412HOChr16g0802921,Ha412HOChr16g0802931,Ha412HOChr16g0802951,Ha412HOChr16g0802981,Ha412HOChr16g0803001
OTU_1162_16S	Ha412HOChr16	214195260	7.143491e-10	RB1-inducible_coiled-coil_protein,WUSCHEL_related_homeobox_13,PHD_finger-like_protein,PHD_finger-like_protein,inositol_requiring_1-1,Auxin_efflux_carrier_family_protein	Ha412HOChr16g0802901,Ha412HOChr16g0802921,Ha412HOChr16g0802931,Ha412HOChr16g0802951,Ha412HOChr16g0802981,Ha412HOChr16g0803001
OTU_1162_16S	Ha412HOChr16	214195276	9.711452e-10	RB1-inducible_coiled-coil_protein,WUSCHEL_related_homeobox_13,PHD_finger-like_protein,PHD_finger-like_protein,inositol_requiring_1-1,Auxin_efflux_carrier_family_protein	Ha412HOChr16g0802901,Ha412HOChr16g0802921,Ha412HOChr16g0802931,Ha412HOChr16g0802951,Ha412HOChr16g0802981,Ha412HOChr16g0803001
OTU_1_16S	Ha412HOChr08	137172703	2.423067e-08	NoGenes	NoGenes
OTU_1_16S	Ha412HOChr09	527284	8.791340e-08	[LOW_BITSCORE]_ASH1-related_protein_2,fatty_acid_biosynthesis_1	Ha412HOChr09g0372431,Ha412HOChr09g0372451
OTU_1_16S	Ha412HOChr09	527288	8.791340e-08	[LOW_BITSCORE]_ASH1-related_protein_2,fatty_acid_biosynthesis_1	Ha412HOChr09g0372431,Ha412HOChr09g0372451
OTU_1_16S	Ha412HOChr17	169061060	2.010668e-08	uncharacterized_protein_AT1G07985,nuclear_factor_Y,_subunit_A1,Ha412HOChr17g0848211,carotenoid_cleavage_dioxygenase_1,PHD_finger_family_protein,[LOW_BITSCORE]_Rrp15p_protein,ferredoxin/thioredoxin_reductase_subunit_A_(variable_subunit)_2,ferredoxin/thioredoxin_reductase_subunit_A_(variable_subunit)_1	Ha412HOChr17g0848181,Ha412HOChr17g0848191,Ha412HOChr17g0848211,Ha412HOChr17g0848221,Ha412HOChr17g0848251,Ha412HOChr17g0848261,Ha412HOChr17g0848281,Ha412HOChr17g0848291
OTU_122_16S	Ha412HOChr11	34464375	1.603609e-08	[LOW_BITSCORE]_histone_acetyltransferase_of_the_CBP_family_1,white-brown_complex-like_protein,[LOW_BITSCORE]_N-terminal_nucleophile_aminohydrolases_(Ntn_hydrolases)_superfamily_protein	Ha412HOChr11g0492101,Ha412HOChr11g0492121,Ha412HOChr11g0492151
OTU_123_16S	Ha412HOChr02	20674624	9.449789e-08	NoGenes	NoGenes
